file,line,type,commit,author,date,time,timezone,datetime,depth,length
resume/index.html,15,html,1f96ae63,Michaelvasandani,2025-01-10,20:36:17,-08:00,2025-01-10T20:36:17-08:00,0,51
resume/index.html,16,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,81
resume/index.html,17,html,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,39
resume/index.html,18,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,4
resume/index.html,19,html,492fba68,Michaelvasandani,2025-01-24,17:20:06,-08:00,2025-01-24T17:20:06-08:00,0,9
resume/index.html,20,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,23
resume/index.html,21,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,31
resume/index.html,22,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,2
resume/index.html,23,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,42
resume/index.html,24,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,29
resume/index.html,25,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,0
resume/index.html,26,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,49
resume/index.html,27,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,66
resume/index.html,28,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,11
resume/index.html,29,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,0
resume/index.html,30,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,0
resume/index.html,31,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,71
resume/index.html,32,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,3
resume/index.html,33,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,8
resume/index.html,34,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,5
resume/index.html,35,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,36,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,7
resume/index.html,37,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,17
resume/index.html,38,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,39,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,40,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,43
resume/index.html,41,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,19
resume/index.html,42,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,39
resume/index.html,43,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,3
resume/index.html,44,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,17
resume/index.html,45,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,3
resume/index.html,46,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,64
resume/index.html,47,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,64
resume/index.html,48,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,59
resume/index.html,49,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,58
resume/index.html,50,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,6
resume/index.html,51,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,4
resume/index.html,52,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,4
resume/index.html,53,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,9
resume/index.html,54,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,9
resume/index.html,55,html,e8b89e48,Michaelvasandani,2025-01-10,19:23:52,-08:00,2025-01-10T19:23:52-08:00,0,0
resume/index.html,56,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,57,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,7
resume/index.html,58,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,18
resume/index.html,59,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,60,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,8
resume/index.html,61,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,32
resume/index.html,62,html,00000000,Not Committed Yet,2025-02-14,18:47:49,-08:00,2025-02-14T18:47:49-08:00,0,35
